nu dvA wA eA rpA iA dvB wB eB rpB iB
133.5 487.644844 245.24538 0.7 7966.2 64 4667.17185 161.75462 0.7 7966.2 64
134 485.687495 245.365553 0.7 7966.2 64 4630.56883 162.634447 0.7 7966.2 64
134.5 483.795776 245.486068 0.7 7966.2 64 4593.71319 163.513932 0.7 7966.2 64
135 481.970571 245.606946 0.7 7966.2 64 4556.60847 164.393054 0.7 7966.2 64
135.5 480.212803 245.728208 0.7 7966.2 64 4519.25825 165.271792 0.7 7966.2 64
136 478.523439 245.849875 0.7 7966.2 64 4481.66618 166.150125 0.7 7966.2 64
136.5 476.903489 245.971969 0.7 7966.2 64 4443.83598 167.028031 0.7 7966.2 64
137 475.354011 246.094513 0.7 7966.2 64 4405.77146 167.905487 0.7 7966.2 64
137.5 473.876112 246.21753 0.7 7966.2 64 4367.47646 168.78247 0.7 7966.2 64
138 472.470949 246.341046 0.7 7966.2 64 4328.95495 169.658954 0.7 7966.2 64
138.5 471.139733 246.465084 0.7 7966.2 64 4290.21093 170.534916 0.7 7966.2 64
139 469.883731 246.589671 0.7 7966.2 64 4251.24851 171.410329 0.7 7966.2 64
139.5 468.704266 246.714834 0.7 7966.2 64 4212.07186 172.285166 0.7 7966.2 64
140 467.602725 246.840599 0.7 7966.2 64 4172.68525 173.159401 0.7 7966.2 64
140.5 466.580557 246.966997 0.7 7966.2 64 4133.09303 174.033003 0.7 7966.2 64
141 465.639277 247.094055 0.7 7966.2 64 4093.29963 174.905945 0.7 7966.2 64
141.5 464.780471 247.221806 0.7 7966.2 64 4053.3096 175.778194 0.7 7966.2 64
142 464.005799 247.35028 0.7 7966.2 64 4013.12755 176.64972 0.7 7966.2 64
142.5 463.316995 247.47951 0.7 7966.2 64 3972.75822 177.52049 0.7 7966.2 64
143 462.715875 247.609531 0.7 7966.2 64 3932.20643 178.390469 0.7 7966.2 64
143.5 462.204338 247.740378 0.7 7966.2 64 3891.47711 179.259622 0.7 7966.2 64
144 461.784373 247.872086 0.7 7966.2 64 3850.57532 180.127914 0.7 7966.2 64
144.5 461.458059 248.004695 0.7 7966.2 64 3809.5062 180.995305 0.7 7966.2 64
145 461.227573 248.138244 0.7 7966.2 64 3768.27504 181.861756 0.7 7966.2 64
145.5 461.095193 248.272773 0.7 7966.2 64 3726.88723 182.727227 0.7 7966.2 64
146 461.063304 248.408325 0.7 7966.2 64 3685.34829 183.591675 0.7 7966.2 64
146.5 461.134402 248.544945 0.7 7966.2 64 3643.66389 184.455055 0.7 7966.2 64
147 461.311101 248.682678 0.7 7966.2 64 3601.83982 185.317322 0.7 7966.2 64
147.5 461.596137 248.821572 0.7 7966.2 64 3559.88201 186.178428 0.7 7966.2 64
